Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
Loyalty,0065g00000WSh3xAAD,PT. Smart Millenium Effisiensi,NEA,SUPPLY CHAIN & SERVICES,DIGITAL MEDIA & SERVICES,Februari,(Opex)Device Loylty Prog. PT.SME,Cash,9711712,150000000
Loyalty,0065g00000Wg3BsAAJ,PT. Smart Millenium Effisiensi,NEA,East Regional,DIGITAL MEDIA & SERVICES,Februari,(Opex)Device Loylty Prog. PT.SME,Complete,,50000000
Loyalty,0065g00000UqNHkAAN,PT. VALDO,REA,Resources & Manufacturing,East Java,Februari,(Opex) Loyty Prog. Vouch PT.VALDO,Complete,24871622,40000000
Connex,0065g00000Wh8OrAAJ,UNILEVER INDONESIA TBK PT,NEA,Strategic Group Company Account,Account Director,Februari,MITS Forum,Develop,400000000,225000000
Connex,0065g00000UtAqxAAF,TOYOTA ASTRA MOTOR PT,SEA,West Regional,Account Director,Februari,MITS Forum,Complete,,55000000
Connex,0065g00000WfeHyAAJ,GREAT GIANT PINEAPPLE PT,REA,West Regional,South Sumatra,Februari,MITS Forum,Identify,,0
Connex,0065g00000WfeHtAAJ,JAPFA COMFEED INDONESIA PT,REA,Jabodetabek,South Sumatra,Februari,MITS Forum,Identify,,0
Connex,0065g00000WgQo6AAF,TAISHO PHARMACEUTICAL INDONESIA TBK PT,REA,"Financial, & Retail Business",Jakarta,Februari,MITS Forum,Complete,,200000000
Connex,0065g00000UtBBlAAN,TAWADA HEALTHCARE PT,NEA,"Financial, & Retail Business",Retail Management,Februari,MITS Forum,Cash,,45000
Connex,0065g00000WSd0yAAD,TAWADA HEALTHCARE PT,NEA,"Financial, & Retail Business",Retail Management,Februari,MITS Forum,Cash,,180000
Connex,0065g00000WSjbCAAT,TAWADA HEALTHCARE PT,NEA,"Financial, & Retail Business",Retail Management,Februari,MITS Forum,Cash,,45000
Connex,0065g00000WfOMtAAN,TAWADA HEALTHCARE PT,NEA,"Financial, & Retail Business",Retail Management,Februari,MITS Forum,Cash,,170000
Connex,0065g00000WfkngAAB,TAWADA HEALTHCARE PT,NEA,Jabodetabek,Retail Management,Februari,MITS Forum,Complete,,85000
Connex,0065g00000WgApoAAF,PLASTICPAY TEKNOLOGI DAURULANG PT,REA,Public Sector,"Bekasi, Depok, Bogor",Februari,MITS Forum,Cash,,5000000
Connex,0065g00000Urn04AAB,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA REPUBLIK INDONESIA,SEA,Public Sector,Ministry & Government Agency,Februari,MITS Forum,Closed Lost,,2000000000
Connex,0065g00000UqzNDAAZ,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA REPUBLIK INDONESIA,SEA,Public Sector,Ministry & Government Agency,Februari,MITS Forum,Complete,,5000000000
Connex,0065g00000UqxJZAAZ,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA REPUBLIK INDONESIA,SEA,Public Sector,Ministry & Government Agency,Februari,MITS Forum,Complete,,5000000000
